action	path	existed_before
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/SanilaContactForm.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/SanilaOnboardingForm.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/components/SanilaSections.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/components/SanilaShell.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/components/SanilaSpecialSections.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pageBlueprints.ts	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pageRegistry.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/AccessPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/AdministrationPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/AdmissionsPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/AttendancePage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/ClaimsPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/CommunicationPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/ContactPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/DemoPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/DirectionPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/FAQPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/FeaturesPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/FinancePage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/HomePage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/ImplementationPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/InventoryPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/LibraryPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/NurserySolutionPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/OnboardingPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/PayrollPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/PedagogyPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/PricingPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/PrivateSchoolSolutionPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/ProductPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/ReportsPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/ResourcesPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/SchoolGroupSolutionPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/SecurityPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/SolutionsPage.tsx	NO
ADD	apps/marketplace-web/angelcare-marketplace/sanila-public/pages/TransportPage.tsx	NO
ADD	apps/marketplace-web/scripts/sanila-public-v2-browser-evidence.mjs	NO
ADD	apps/marketplace-web/scripts/sanila-public-v2-post-apply-gates.sh	NO
ADD	apps/marketplace-web/scripts/sanila-public-v2-production-smoke.mjs	NO
ADD	apps/marketplace-web/scripts/sanila-public-v2-static-qa.mjs	NO
MODIFY	apps/marketplace-web/angelcare-marketplace/sanila-public/SanilaDemoForm.tsx	YES
MODIFY	apps/marketplace-web/angelcare-marketplace/sanila-public/SanilaPublic.module.css	YES
MODIFY	apps/marketplace-web/angelcare-marketplace/sanila-public/SanilaPublicUniverse.tsx	YES
MODIFY	apps/marketplace-web/angelcare-marketplace/sanila-public/content.ts	YES
MODIFY	apps/marketplace-web/angelcare-marketplace/sanila-public/metadata.ts	YES
MODIFY	apps/marketplace-web/angelcare-marketplace/sanila-public/types.ts	YES
MODIFY	apps/marketplace-web/app/angelcare-marketplace/[locale]/[[...slug]]/page.tsx	YES
