"route","kind","audience","domain","dynamic","file"
"/angelcare-marketplace","page","platform","angelcare-marketplace","no","app/angelcare-marketplace/page.tsx"
"/angelcare-marketplace/[locale]/[[...slug]]","page","public-localized","root","yes","app/angelcare-marketplace/[locale]/[[...slug]]/page.tsx"
"/angelcare-marketplace/[locale]/academy","page","public-localized","academy","yes","app/angelcare-marketplace/[locale]/academy/page.tsx"
"/angelcare-marketplace/[locale]/academy/programs","page","public-localized","academy","yes","app/angelcare-marketplace/[locale]/academy/programs/page.tsx"
"/angelcare-marketplace/[locale]/academy/programs/[slug]","page","public-localized","academy","yes","app/angelcare-marketplace/[locale]/academy/programs/[slug]/page.tsx"
"/angelcare-marketplace/[locale]/academy/request","page","public-localized","academy","yes","app/angelcare-marketplace/[locale]/academy/request/page.tsx"
"/angelcare-marketplace/[locale]/account","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/page.tsx"
"/angelcare-marketplace/[locale]/account/action-center","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/action-center/page.tsx"
"/angelcare-marketplace/[locale]/account/assessments","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/assessments/page.tsx"
"/angelcare-marketplace/[locale]/account/bookings","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/bookings/page.tsx"
"/angelcare-marketplace/[locale]/account/documents","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/documents/page.tsx"
"/angelcare-marketplace/[locale]/account/enrollments","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/enrollments/page.tsx"
"/angelcare-marketplace/[locale]/account/journeys","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/journeys/page.tsx"
"/angelcare-marketplace/[locale]/account/journeys/[journeyId]","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/journeys/[journeyId]/page.tsx"
"/angelcare-marketplace/[locale]/account/notifications","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/notifications/page.tsx"
"/angelcare-marketplace/[locale]/account/orders","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/orders/page.tsx"
"/angelcare-marketplace/[locale]/account/quotations","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/quotations/page.tsx"
"/angelcare-marketplace/[locale]/account/subscriptions","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/subscriptions/page.tsx"
"/angelcare-marketplace/[locale]/account/support","page","customer-account","account","yes","app/angelcare-marketplace/[locale]/account/support/page.tsx"
"/angelcare-marketplace/[locale]/basket","page","public-localized","basket","yes","app/angelcare-marketplace/[locale]/basket/page.tsx"
"/angelcare-marketplace/[locale]/booking/[itemSlug]","page","public-localized","booking","yes","app/angelcare-marketplace/[locale]/booking/[itemSlug]/page.tsx"
"/angelcare-marketplace/[locale]/checkout","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/page.tsx"
"/angelcare-marketplace/[locale]/checkout/availability","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/availability/page.tsx"
"/angelcare-marketplace/[locale]/checkout/configuration","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/configuration/page.tsx"
"/angelcare-marketplace/[locale]/checkout/confirmation","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/confirmation/page.tsx"
"/angelcare-marketplace/[locale]/checkout/consent","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/consent/page.tsx"
"/angelcare-marketplace/[locale]/checkout/identity","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/identity/page.tsx"
"/angelcare-marketplace/[locale]/checkout/review","page","public-localized","checkout","yes","app/angelcare-marketplace/[locale]/checkout/review/page.tsx"
"/angelcare-marketplace/[locale]/corporates","page","public-localized","corporates","yes","app/angelcare-marketplace/[locale]/corporates/page.tsx"
"/angelcare-marketplace/[locale]/corporates/emergency-support","page","public-localized","corporates","yes","app/angelcare-marketplace/[locale]/corporates/emergency-support/page.tsx"
"/angelcare-marketplace/[locale]/corporates/family-benefits","page","public-localized","corporates","yes","app/angelcare-marketplace/[locale]/corporates/family-benefits/page.tsx"
"/angelcare-marketplace/[locale]/corporates/family-days","page","public-localized","corporates","yes","app/angelcare-marketplace/[locale]/corporates/family-days/page.tsx"
"/angelcare-marketplace/[locale]/corporates/request","page","public-localized","corporates","yes","app/angelcare-marketplace/[locale]/corporates/request/page.tsx"
"/angelcare-marketplace/[locale]/development","page","public-localized","development","yes","app/angelcare-marketplace/[locale]/development/page.tsx"
"/angelcare-marketplace/[locale]/enrollment/[itemSlug]","page","public-localized","enrollment","yes","app/angelcare-marketplace/[locale]/enrollment/[itemSlug]/page.tsx"
"/angelcare-marketplace/[locale]/establishments","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/page.tsx"
"/angelcare-marketplace/[locale]/establishments/academy","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/academy/page.tsx"
"/angelcare-marketplace/[locale]/establishments/creches","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/creches/page.tsx"
"/angelcare-marketplace/[locale]/establishments/diagnostic","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/diagnostic/page.tsx"
"/angelcare-marketplace/[locale]/establishments/partner-os","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/partner-os/page.tsx"
"/angelcare-marketplace/[locale]/establishments/quality-check-360","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/quality-check-360/page.tsx"
"/angelcare-marketplace/[locale]/establishments/request","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/request/page.tsx"
"/angelcare-marketplace/[locale]/establishments/schools","page","public-localized","establishments","yes","app/angelcare-marketplace/[locale]/establishments/schools/page.tsx"
"/angelcare-marketplace/[locale]/families","page","public-localized","families","yes","app/angelcare-marketplace/[locale]/families/page.tsx"
"/angelcare-marketplace/[locale]/health-partners","page","public-localized","health-partners","yes","app/angelcare-marketplace/[locale]/health-partners/page.tsx"
"/angelcare-marketplace/[locale]/health-partners/maternity","page","public-localized","health-partners","yes","app/angelcare-marketplace/[locale]/health-partners/maternity/page.tsx"
"/angelcare-marketplace/[locale]/health-partners/mother-baby-care","page","public-localized","health-partners","yes","app/angelcare-marketplace/[locale]/health-partners/mother-baby-care/page.tsx"
"/angelcare-marketplace/[locale]/health-partners/request","page","public-localized","health-partners","yes","app/angelcare-marketplace/[locale]/health-partners/request/page.tsx"
"/angelcare-marketplace/[locale]/health-partners/workshops","page","public-localized","health-partners","yes","app/angelcare-marketplace/[locale]/health-partners/workshops/page.tsx"
"/angelcare-marketplace/[locale]/home-services","page","public-localized","home-services","yes","app/angelcare-marketplace/[locale]/home-services/page.tsx"
"/angelcare-marketplace/[locale]/hospitality","page","public-localized","hospitality","yes","app/angelcare-marketplace/[locale]/hospitality/page.tsx"
"/angelcare-marketplace/[locale]/hospitality/family-concierge","page","public-localized","hospitality","yes","app/angelcare-marketplace/[locale]/hospitality/family-concierge/page.tsx"
"/angelcare-marketplace/[locale]/hospitality/guest-childcare","page","public-localized","hospitality","yes","app/angelcare-marketplace/[locale]/hospitality/guest-childcare/page.tsx"
"/angelcare-marketplace/[locale]/hospitality/kids-club","page","public-localized","hospitality","yes","app/angelcare-marketplace/[locale]/hospitality/kids-club/page.tsx"
"/angelcare-marketplace/[locale]/hospitality/request","page","public-localized","hospitality","yes","app/angelcare-marketplace/[locale]/hospitality/request/page.tsx"
"/angelcare-marketplace/[locale]/hospitality/seasonal-programs","page","public-localized","hospitality","yes","app/angelcare-marketplace/[locale]/hospitality/seasonal-programs/page.tsx"
"/angelcare-marketplace/[locale]/kits","page","public-localized","kits","yes","app/angelcare-marketplace/[locale]/kits/page.tsx"
"/angelcare-marketplace/[locale]/marketplace","page","public-localized","marketplace","yes","app/angelcare-marketplace/[locale]/marketplace/page.tsx"
"/angelcare-marketplace/[locale]/marketplace/[slug]","page","public-localized","marketplace","yes","app/angelcare-marketplace/[locale]/marketplace/[slug]/page.tsx"
