file,line,risk,matches,code
app/globals.css,5,review,angelcare_text_logo,AngelCare Global Theme + Contrast Safety Layer
app/globals.css,20,review,angelcare_text_logo,--angelcare-primary: #1d4ed8;
app/globals.css,21,review,angelcare_text_logo,--angelcare-primary-dark: #0f172a;
app/globals.css,22,review,angelcare_text_logo,--angelcare-success: #047857;
app/globals.css,23,review,angelcare_text_logo,--angelcare-danger: #be123c;
app/globals.css,24,review,angelcare_text_logo,--angelcare-warning: #b45309;
app/globals.css,248,review,angelcare_text_logo,AngelCare ERP 2026 visual foundation
app/verify/[token]/page.tsx,18,text_logo_candidate,angelcare_text_logo,"<div><p style={eyebrow}>ANGELCARE ACADEMY VERIFICATION</p><h1>{valid ? 'Document authentique' : 'Document non valide'}</h1><p style={{color:'#64748b',fontWeight:800}}>Vérification live connectée à Academy OS.</p></div>"
app/verify/[token]/page.tsx,27,image_logo_candidate,image_tag,"{document.qr_data_url ? <img src={document.qr_data_url} alt=""QR Code"" style={{width:150,height:150,marginTop:20}}/> : null}"
app/styles/enterprise-contrast-fix.css,1,review,angelcare_text_logo,/* AngelCare OPSOS — Global Enterprise Contrast Safety Layer */
app/components/VoicePhoneWidget.tsx,24,review,angelcare_text_logo,"const VOICE_TERMINAL_MINIMIZED_KEY = ""angelcare.voiceTerminal.minimized"""
app/components/VoicePhoneWidget.tsx,434,review,angelcare_text_logo,"to_number: incomingNumber ? ""AngelCare"" : number,"
app/components/VoicePhoneWidget.tsx,523,review,angelcare_text_logo,"to_number: ""AngelCare"","
app/components/csa/CSAExecutiveCommandCenterV5.tsx,13,review,logo_word,<div style={brand}><div style={logo}>🎧</div><div><strong>C.S.A OPS</strong><p>Executive Control Tower</p></div></div>
app/components/csa/CSAExecutiveCommandCenterV5.tsx,149,review,logo_word,"const logo: React.CSSProperties ={width:56,height:56,borderRadius:20,display:'grid',placeItems:'center',background:'linear-gradient(135deg,#0ea5e9,#8b5cf6)',fontSize:24}"
app/components/csa/CSAExecutiveCommandCenterV5Live.tsx,106,review,logo_word,<div style={logo}>🎧</div>
app/components/csa/CSAExecutiveCommandCenterV5Live.tsx,276,review,logo_word,"const logo: React.CSSProperties = { width: 56, height: 56, borderRadius: 20, display: 'grid', placeItems: 'center', background: 'linear-gradient(135deg,#0ea5e9,#8b5cf6)', fontSize: 24 }"
app/components/csa/CSADarkExecutiveDuplicate.tsx,567,text_logo_candidate,angelcare_text_logo,<strong style={brandTitle}>ANGELCARE</strong>
app/components/csa/CSADarkExecutiveDuplicate.tsx,778,review,svg_inline,"<svg viewBox=""0 0 900 210"" width=""100%"" height=""210"" preserveAspectRatio=""none"">"
app/components/csa/CSADarkExecutiveDuplicate.tsx,880,review,svg_inline,"<svg viewBox=""0 0 980 330"" width=""100%"" height=""100%"" preserveAspectRatio=""none"" style={advancedChartSvg}>"
app/components/csa/CsaStaffPortalV2.tsx,8,review,logo_word,<div style={brand}><div style={logo}>🎧</div><div><b>C.S.A</b><span>CLIENT SUCCESS OS</span></div></div>
app/components/csa/CsaStaffPortalV2.tsx,14,review,angelcare_text_logo,<div><p style={eyebrow}>AngelCare Customer Success Authority</p><h1>C.S.A Staff Portal Command Center</h1>
app/components/csa/CsaStaffPortalV2.tsx,37,review,logo_word,"const logo:React.CSSProperties={width:48,height:48,borderRadius:16,display:'grid',placeItems:'center',background:'#164e63'}"
app/components/csa/CsaCommandHome.tsx,32,review,angelcare_text_logo,<div style={eyebrowStyle}>AngelCare Customer Success Authority</div>
app/components/revenue-command-center/RevenuePartnershipsEnterpriseWorkspace.tsx,145,text_logo_candidate,angelcare_text_logo,"<div className=""mb-9 flex items-center gap-4""><div className=""grid h-14 w-14 place-items-center rounded-2xl bg-amber-400 text-2xl shadow-lg shadow-amber-500/30"">✦</div><div><p className=""text-xl font-black tracking-[0.28em]"">ANGELCARE</p><p className=""text-[10px] font-black uppercase tracking-[0.35em] text-slate-400"">Prospect Center</p></div></div>"
