mode,id,parent,x,y,width,height,canonical_x,canonical_y,canonical_width,canonical_height
desktop_reference,D00,P00,0,0,935,25,0,0,1440,39
desktop_reference,D01,P01,0,25,935,45,0,39,1440,69
desktop_reference,D02,P02,0,70,935,21,0,108,1440,32
desktop_reference,D03,P03,20,91,895,24,31,140,1378,37
desktop_reference,D04_MEDIA_RAIL,P04,20,115,61,359,31,177,94,553
desktop_reference,D04_MAIN_MEDIA,P04,86,115,332,359,132,177,511,553
desktop_reference,D05_IDENTITY,P05,427,115,231,359,658,177,356,553
desktop_reference,D06_PURCHASE,P06,671,115,244,359,1033,177,376,553
desktop_reference,D07,P07,20,474,895,70,31,730,1378,108
desktop_reference,D08,P08,20,544,895,140,31,838,1378,216
desktop_reference,D09,P09,20,684,895,32,31,1053,1378,49
desktop_reference,D10_DESC,P10,20,716,309,318,31,1103,476,490
desktop_reference,D11_SPECS,P11,339,716,194,318,522,1103,299,490
desktop_reference,D12_REVIEWS,P12,543,716,183,318,836,1103,282,490
desktop_reference,D13_FAQ,P13,736,716,179,318,1134,1103,276,490
desktop_reference,D14_BUNDLE,P14,20,1034,309,194,31,1592,476,299
desktop_reference,D15_ACCESSORIES,P15,339,1034,287,194,522,1592,442,299
desktop_reference,D16_SIMILAR,P16,636,1034,279,194,980,1592,430,299
desktop_reference,D17_GUIDES,P17,20,1228,385,171,31,1891,593,263
desktop_reference,D18_COMMUNITY,P18,415,1228,219,171,639,1891,337,263
desktop_reference,D19_MISSION,P19,644,1228,271,171,992,1891,417,263
desktop_reference,D20,P20,20,1399,895,73,31,2155,1378,112
desktop_reference,D21,P21,0,1472,935,211,0,2267,1440,325
