"api_route","methods","handler_symbols","business_domain","capability_ids","permission_guard","read_write","mutation_type","operator_facing_indirectly","authority_classification","review_status","evidence"
"/api/angelcare-marketplace/admin/customers/:customerId/crm","GET","handleCustomerCrmActivity","Clients","CAP-B03-009","marketplace.crm.view","READ","NOT_APPLICABLE","YES","OPERATOR_CAPABILITY_AUTHORITY","SOURCE_REVIEWED","Task, communication and audit readback scoped to the selected customer."
"/api/angelcare-marketplace/admin/customers/:customerId/crm/tasks","POST","handleCustomerCrmTasks","Clients","CAP-B03-009","marketplace.crm.tasks.manage","WRITE","CREATE_TASK","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Creates persisted CRM task after customer validation."
"/api/angelcare-marketplace/admin/customers/:customerId/crm/tasks/:taskId","PATCH","handleCustomerCrmTask","Clients","CAP-B03-009","marketplace.crm.tasks.manage","WRITE","UPDATE_TASK_LIFECYCLE","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Updates only a task related to the selected customer and enforces lifecycle transitions."
"/api/angelcare-marketplace/admin/customers/:customerId/crm/communications","POST","handleCustomerCrmCommunications","Clients","CAP-B03-009","marketplace.crm.communications.log","WRITE","APPEND_COMMUNICATION_LOG","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Persists evidence only; no outbound provider call."
"/api/angelcare-marketplace/admin/integrations/paypal/health","GET|POST","handlePayPalAdmin","Finance","CAP-B10-002","marketplace.configuration.view|marketplace.configuration.manage","READ_WRITE","SAFE_OAUTH_CONNECTIVITY_TEST","YES","OPERATOR_CAPABILITY_AUTHORITY","SOURCE_REVIEWED","GET returns safe presence/evidence; POST performs OAuth only and creates no payment."
"/api/angelcare-marketplace/admin/live-experience/sources/:sourceId","PATCH","handleLiveSourceStatus","Marketing & promotions","CAP-B06-003","marketplace.live_experience.manage","WRITE","SOURCE_STATUS_TRANSITION","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Pause/reactivate source with audit; public proof resolver suppresses inactive sources."
"/api/angelcare-marketplace/admin/media/upload-session","POST","handleMarketplaceMediaUploadSession","Boutique","CAP-B05-006","marketplace.media.manage","WRITE","SIGNED_UPLOAD_SESSION","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Creates processing metadata and a 30-minute Marketplace-namespaced signed direct-upload URL."
"/api/angelcare-marketplace/admin/media/:mediaId/complete","POST","handleMarketplaceMediaUploadComplete","Boutique","CAP-B05-006","marketplace.media.manage","WRITE","VERIFY_AND_ACTIVATE_MEDIA","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Reads trusted gateway metadata, verifies MIME/size, persists SHA-256 and activates stable asset URL."
"/api/angelcare-marketplace/admin/media/:mediaId/permanent-delete","POST","handleMarketplaceMediaPermanentDelete","Boutique","CAP-B05-006","marketplace.media.manage","WRITE","GOVERNED_MEDIA_DELETE","YES","SUPPORTING_MUTATION_AUTHORITY","SOURCE_REVIEWED","Rejects deletion while usage references exist; deletes gateway binary and canonical metadata."
"/api/angelcare-marketplace/admin/media/storage/health","GET","handleMarketplaceMediaStorageHealth","Paramètres & gouvernance","CAP-B11-009|CAP-B05-006","marketplace.media.view","READ","NOT_APPLICABLE","YES","SUPPORTING_READ_AUTHORITY","SOURCE_REVIEWED","Safe configuration presence, gateway health, capacity and real metadata counts; no secrets."
