"capability_id","batch","canonical_workspace","capability_family","capability_name","operator_purpose","canonical_route","interaction_surface","source_pages","source_components","source_api_routes","repository_service_authority","mutation_authority","lifecycle_authority","permission_authority","related_objects","downstream_effects","approved_design_reference","disposition","implementation_status","verification_status","source_review_status","evidence_notes"
"CAP-GLOBAL-001","GLOBAL","Accueil / cross-domain shell","Global Marketplace Admin operating shell","Global Marketplace Admin operating shell","Navigate exactly 15 primary workspaces, retain contextual specialist access and execute governed cross-domain actions.","/angelcare-marketplace/admin","Global command, search and governed-action foundations","/angelcare-marketplace/admin/catalog/items/:itemId/categories|/angelcare-marketplace/admin/catalog/items/:itemId/history|/angelcare-marketplace/admin/catalog/items/:itemId/media|/angelcare-marketplace/admin/catalog/items/:itemId/merchandising|/angelcare-marketplace/admin/catalog/items/:itemId|/angelcare-marketplace/admin/catalog/items/:itemId/presentation|/angelcare-marketplace/admin/catalog/items/:itemId/pricing|/angelcare-marketplace/admin/catalog/items/:itemId/publication|/angelcare-marketplace/admin/catalog/items/:itemId/related|/angelcare-marketplace/admin/catalog/items/:itemId/seo|/angelcare-marketplace/admin/catalog/items/:itemId/sourcing|/angelcare-marketplace/admin/catalog/items/:itemId/territories|/angelcare-marketplace/admin/catalog/items/:itemId/variants|/angelcare-marketplace/admin/commerce-studio/import-export|/angelcare-marketplace/admin/feature-flags|/angelcare-marketplace/admin/modules/:moduleKey|/angelcare-marketplace/admin","AdminNavigation; AdminWorkspaceContextNav; GovernedActionProvider","/api/angelcare-marketplace/admin/auth/login|/api/angelcare-marketplace/admin/auth/logout|/api/angelcare-marketplace/admin/bookings/:bookingId|/api/angelcare-marketplace/admin/catalog/categories/:categoryId/items|/api/angelcare-marketplace/admin/catalog/categories/:categoryId|/api/angelcare-marketplace/admin/catalog/items/:itemId/availability|/api/angelcare-marketplace/admin/catalog/items/:itemId/categories|/api/angelcare-marketplace/admin/catalog/items/:itemId/media|/api/angelcare-marketplace/admin/catalog/items/:itemId/pricing|/api/angelcare-marketplace/admin/catalog/items/:itemId|/api/angelcare-marketplace/admin/catalog/items/:itemId/variants|/api/angelcare-marketplace/admin/catalog/items|/api/angelcare-marketplace/admin/commerce/:resource/:id/:action|/api/angelcare-marketplace/admin/commerce/:resource/:id|/api/angelcare-marketplace/admin/commerce/:resource|/api/angelcare-marketplace/admin/commerce/export/:resource|/api/angelcare-marketplace/admin/commerce/import/:resource|/api/angelcare-marketplace/admin/commerce/summary|/api/angelcare-marketplace/admin/enterprise-control|/api/angelcare-marketplace/admin/enterprise/orders/:orderId/lines/:lineId|/api/angelcare-marketplace/admin/enterprise/orders/:orderId/lines|/api/angelcare-marketplace/admin/enterprise/orders/:orderId|/api/angelcare-marketplace/admin/families/:familyId/guardians/:guardianId|/api/angelcare-marketplace/admin/families/:familyId/guardians|/api/angelcare-marketplace/admin/homepage/sections/:sectionId|/api/angelcare-marketplace/admin/invoices/:invoiceId|/api/angelcare-marketplace/admin/media/:mediaId|/api/angelcare-marketplace/admin/media/:mediaId/transform|/api/angelcare-marketplace/admin/navigation/items/:itemId|/api/angelcare-marketplace/admin/orders/:orderId/lines|/api/angelcare-marketplace/admin/orders/:orderId|/api/angelcare-marketplace/admin/payments/:paymentIntentId/refund|/api/angelcare-marketplace/admin/payments/reconciliation/:itemId/transition|/api/angelcare-marketplace/admin/promotions/:promotionId|/api/angelcare-marketplace/admin/publication/history|/api/angelcare-marketplace/admin/publication/preview|/api/angelcare-marketplace/admin/publication/refresh|/api/angelcare-marketplace/admin/publication/rollback|/api/angelcare-marketplace/admin/subscriptions/:subscriptionId|/api/angelcare-marketplace/admin/wallet/accounts/:walletId/adjustment|/api/angelcare-marketplace/admin/wallet/accounts/:walletId/restriction|/api/angelcare-marketplace/admin/wallet/policies/:policyId|/api/angelcare-marketplace/admin/wallet/reconciliation/:itemId/transition|/api/angelcare-marketplace/checkout/payment-methods|/api/angelcare-marketplace/customer/auth/login|/api/angelcare-marketplace/customer/auth/logout|/api/angelcare-marketplace/customer/auth/magic-link|/api/angelcare-marketplace/customer/auth/password|/api/angelcare-marketplace/customer/auth/phone-otp|/api/angelcare-marketplace/customer/auth/recover|/api/angelcare-marketplace/customer/auth/register|/api/angelcare-marketplace/customer/me|/api/angelcare-marketplace/customer/portfolio|/api/angelcare-marketplace/customer/sessions|/api/angelcare-marketplace/foundation/configuration/:key|/api/angelcare-marketplace/foundation/context|/api/angelcare-marketplace/foundation/feature-flags/:flagKey|/api/angelcare-marketplace/foundation/feature-flags|/api/angelcare-marketplace/foundation/health|/api/angelcare-marketplace/foundation/modules/:moduleKey|/api/angelcare-marketplace/foundation/modules/:moduleKey/transition|/api/angelcare-marketplace/foundation/readiness/:checkKey|/api/angelcare-marketplace/payments/intents|/api/angelcare-marketplace/payments/paypal/cancel|/api/angelcare-marketplace/payments/paypal/return|/api/angelcare-marketplace/payments/webhooks/:provider|/api/angelcare-marketplace/wallet/comparison|/api/angelcare-marketplace/wallet|/api/angelcare-marketplace/wallet/topups/quote|/api/angelcare-marketplace/wallet/topups|/api/angelcare-marketplace/wallet/transactions","commerce-studio|domain|components|features|design-system|server|enterprise-closure|customer-commerce|api","POST /api/angelcare-marketplace/admin/auth/login|POST /api/angelcare-marketplace/admin/auth/logout|PATCH /api/angelcare-marketplace/admin/bookings/:bookingId|POST /api/angelcare-marketplace/admin/catalog/categories/:categoryId/items|PATCH|DELETE /api/angelcare-marketplace/admin/catalog/categories/:categoryId|POST /api/angelcare-marketplace/admin/catalog/items/:itemId/availability|POST /api/angelcare-marketplace/admin/catalog/items/:itemId/categories|POST /api/angelcare-marketplace/admin/catalog/items/:itemId/media|POST /api/angelcare-marketplace/admin/catalog/items/:itemId/pricing|PATCH|DELETE /api/angelcare-marketplace/admin/catalog/items/:itemId|POST /api/angelcare-marketplace/admin/catalog/items/:itemId/variants|POST /api/angelcare-marketplace/admin/catalog/items|POST|PATCH /api/angelcare-marketplace/admin/commerce/:resource/:id/:action|PATCH|DELETE /api/angelcare-marketplace/admin/commerce/:resource/:id|POST /api/angelcare-marketplace/admin/commerce/:resource|POST /api/angelcare-marketplace/admin/commerce/import/:resource|PATCH /api/angelcare-marketplace/admin/enterprise/orders/:orderId/lines/:lineId|POST /api/angelcare-marketplace/admin/enterprise/orders/:orderId/lines|PATCH /api/angelcare-marketplace/admin/families/:familyId/guardians/:guardianId|POST /api/angelcare-marketplace/admin/families/:familyId/guardians|PATCH|DELETE /api/angelcare-marketplace/admin/homepage/sections/:sectionId|PATCH /api/angelcare-marketplace/admin/invoices/:invoiceId|PATCH|DELETE /api/angelcare-marketplace/admin/media/:mediaId|POST /api/angelcare-marketplace/admin/media/:mediaId/transform|PATCH|DELETE /api/angelcare-marketplace/admin/navigation/items/:itemId|POST /api/angelcare-marketplace/admin/orders/:orderId/lines|PATCH /api/angelcare-marketplace/admin/orders/:orderId|POST /api/angelcare-marketplace/admin/payments/:paymentIntentId/refund|POST /api/angelcare-marketplace/admin/payments/reconciliation/:itemId/transition|PATCH /api/angelcare-marketplace/admin/promotions/:promotionId|POST /api/angelcare-marketplace/admin/publication/history|POST /api/angelcare-marketplace/admin/publication/refresh|POST /api/angelcare-marketplace/admin/publication/rollback|PATCH /api/angelcare-marketplace/admin/subscriptions/:subscriptionId|POST /api/angelcare-marketplace/admin/wallet/accounts/:walletId/adjustment|PATCH /api/angelcare-marketplace/admin/wallet/accounts/:walletId/restriction|PATCH /api/angelcare-marketplace/admin/wallet/policies/:policyId|POST /api/angelcare-marketplace/admin/wallet/reconciliation/:itemId/transition|POST /api/angelcare-marketplace/checkout/payment-methods|POST /api/angelcare-marketplace/customer/auth/login|POST /api/angelcare-marketplace/customer/auth/logout|POST /api/angelcare-marketplace/customer/auth/magic-link|PATCH /api/angelcare-marketplace/customer/auth/password|POST /api/angelcare-marketplace/customer/auth/phone-otp|POST /api/angelcare-marketplace/customer/auth/recover|POST /api/angelcare-marketplace/customer/auth/register|DELETE /api/angelcare-marketplace/customer/sessions|PATCH /api/angelcare-marketplace/foundation/configuration/:key|PATCH /api/angelcare-marketplace/foundation/feature-flags/:flagKey|PATCH /api/angelcare-marketplace/foundation/modules/:moduleKey|POST /api/angelcare-marketplace/foundation/modules/:moduleKey/transition|PATCH /api/angelcare-marketplace/foundation/readiness/:checkKey|POST /api/angelcare-marketplace/payments/intents|POST /api/angelcare-marketplace/payments/webhooks/:provider|POST /api/angelcare-marketplace/wallet/comparison|POST /api/angelcare-marketplace/wallet/topups/quote|POST /api/angelcare-marketplace/wallet/topups","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage|marketplace.commerce.import|marketplace.feature_flags.view|marketplace.feature_flags.manage|marketplace.module.css|marketplace.modules.view|marketplace.admin.access|marketplace.admin.login.failed|marketplace.admin.login.success|marketplace.foundation.view|marketplace.workspace.access|marketplace.modules.create|marketplace.modules.update|marketplace.modules.enable|marketplace.modules.disable|marketplace.modules.archive|marketplace.configuration.view|marketplace.configuration.manage|marketplace.audit.view|marketplace.audit.export|marketplace.security.view|marketplace.security.manage|marketplace.readiness.view|marketplace.readiness.update|marketplace.readiness.review|marketplace.readiness.sign_off|marketplace.territories.view|marketplace.territories.create|marketplace.territories.update|marketplace.territories.clone|marketplace.territories.submit_review|marketplace.territories.approve_soft_launch|marketplace.territories.approve_live|marketplace.territories.pause|marketplace.territories.resume|marketplace.territories.archive|marketplace.territories.preview|marketplace.territories.export|marketplace.territory_settings.view|marketplace.territory_settings.manage|marketplace.territory_overrides.view|marketplace.territory_overrides.create|marketplace.territory_overrides.review|marketplace.territory_overrides.approve|marketplace.territory_overrides.reject|marketplace.territory_overrides.rollback|marketplace.territory_readiness.view|marketplace.territory_readiness.manage|marketplace.territory_readiness.review|marketplace.territory_readiness.sign_off|marketplace.territory_health.view|marketplace.territory_health.manage|marketplace.localization.access|marketplace.localization.scans.view|marketplace.localization.scans.run|marketplace.localization.scans.cancel|marketplace.localization.scans.configure|marketplace.localization.inventory.view|marketplace.localization.inventory.classify|marketplace.localization.inventory.export|marketplace.localization.translations.view|marketplace.localization.translations.create|marketplace.localization.translations.edit|marketplace.localization.translations.assign|marketplace.localization.translations.submit|marketplace.localization.translations.review|marketplace.localization.translations.approve|marketplace.localization.translations.publish|marketplace.localization.translations.archive|marketplace.localization.csv.export|marketplace.localization.csv.import|marketplace.localization.csv.validate|marketplace.localization.csv.apply|marketplace.localization.csv.rollback|marketplace.localization.glossary.view|marketplace.localization.glossary.manage|marketplace.localization.memory.view|marketplace.localization.memory.curate|marketplace.localization.sensitive.review|marketplace.localization.sensitive.approve|marketplace.localization.seo.view|marketplace.localization.seo.manage|marketplace.localization.rules.view|marketplace.localization.rules.manage|marketplace.localization.sources.view|marketplace.localization.sources.manage|marketplace.localization.readiness.view|marketplace.localization.audit.export|marketplace.backoffice.command.view|marketplace.backoffice.search|marketplace.backoffice.actions.view|marketplace.backoffice.actions.manage|marketplace.backoffice.approvals.view|marketplace.backoffice.approvals.create|marketplace.backoffice.approvals.review|marketplace.backoffice.approvals.decide|marketplace.backoffice.approvals.override|marketplace.backoffice.briefs.view|marketplace.backoffice.briefs.create|marketplace.backoffice.briefs.publish|marketplace.backoffice.objects.view|marketplace.backoffice.objects.comment|marketplace.backoffice.objects.export|marketplace.cms.view|marketplace.cms.create|marketplace.cms.edit|marketplace.cms.submit|marketplace.cms.review|marketplace.cms.approve|marketplace.cms.publish|marketplace.cms.schedule|marketplace.cms.rollback|marketplace.cms.archive|marketplace.cms.blocks.manage|marketplace.cms.menus.manage|marketplace.cms.ctas.manage|marketplace.cms.preview|marketplace.cms.redirects.manage|marketplace.public.inquiries.view|marketplace.public.inquiries.manage|marketplace.public.inquiries.export|marketplace.public.analytics.view|marketplace.family.dashboard|marketplace.family.profile.view|marketplace.family.profile.manage|marketplace.family.children.view|marketplace.family.children.manage|marketplace.family.diagnostics.create|marketplace.family.diagnostics.view|marketplace.family.requests.create|marketplace.family.requests.view|marketplace.family.requests.manage|marketplace.family.requests.qualify|marketplace.family.missions.view|marketplace.family.reports.view|marketplace.family.support.create|marketplace.family.support.view|marketplace.family.support.manage|marketplace.family.documents.view|marketplace.family.documents.manage|marketplace.family.feedback.create|marketplace.family.feedback.view|marketplace.seo.manage|marketplace.live_experience.view|marketplace.live_experience.manage|marketplace.live_experience.publish|marketplace.popup.manage|marketplace.broadcast.manage|marketplace.proof_widget.manage|marketplace.audience.manage|marketplace.experiment.manage|marketplace.live_experience.analytics.view|marketplace.emergency_broadcast.manage|marketplace.experience_schema.view|marketplace.experience_schema.manage|marketplace.archetype.view|marketplace.archetype.manage|marketplace.category_native_import.view|marketplace.category_native_import.manage|marketplace.intelligence.view|marketplace.intelligence.metrics.manage|marketplace.growth.view|marketplace.growth.experiments.manage|marketplace.performance.view|marketplace.security.assess|marketplace.launch.approve|marketplace.launch.monitoring|AUTHENTICATED_SESSION_REVOCATION|marketplace.operations.view|marketplace.operations.missions.manage|marketplace.finance.view|marketplace.finance.manage|marketplace.operations.missions.create|marketplace.family.admin.manage|marketplace.catalog.manage|marketplace.commerce.|marketplace.catalog.purge|marketplace.media.replaced|marketplace.media.uploaded|marketplace.media.transformed|marketplace.commerce.import.previewed|marketplace.commerce.import.executed|marketplace.finance.reconciliation.manage|marketplace.finance.price_books.manage|marketplace.finance.exceptions.approve|marketplace.audit.exported","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","V4 global shell authority","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Frozen 15-workspace AdminNavigation source and shared governed-action shell inspected statically. Canonical source: app/angelcare-marketplace/(protected)/admin/page.tsx."
"CAP-B01-001","B01","Accueil / Produits & services","ADMIN HOME COMMAND CENTER","ADMIN HOME COMMAND CENTER","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin","SOURCE_REVIEWED","/angelcare-marketplace/admin/commerce-factory/availability|/angelcare-marketplace/admin/commerce-factory/doctrines|/angelcare-marketplace/admin/commerce-factory/imports|/angelcare-marketplace/admin/commerce-factory/pricing|/angelcare-marketplace/admin/commerce-factory/products|/angelcare-marketplace/admin/marketplace|/angelcare-marketplace/admin","OperatorExcellenceCockpit","/api/angelcare-marketplace/catalog/:itemId/transition|/api/angelcare-marketplace/catalog|/api/angelcare-marketplace/catalog/summary|/api/angelcare-marketplace/public/catalog/:slug|/api/angelcare-marketplace/quote-baskets/:basketId/items|/api/angelcare-marketplace/quote-baskets|/api/angelcare-marketplace/suppliers","commerce-product-atelier|marketplace-core|enterprise-closure|total-commerce-control|admin-excellence","POST /api/angelcare-marketplace/catalog/:itemId/transition|POST /api/angelcare-marketplace/catalog|POST /api/angelcare-marketplace/quote-baskets/:basketId/items|POST /api/angelcare-marketplace/quote-baskets","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.admin.access|marketplace.catalog.view|marketplace.catalog.manage|marketplace.catalog.publish|marketplace.catalog.suppliers.view|marketplace.quote_basket.create|marketplace.quote_basket.view|marketplace.quote_basket.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/01_ADMIN_HOME_COMMAND_CENTER.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/page.tsx."
"CAP-B01-002","B01","Accueil / Produits & services","PRODUCTS SERVICES REGISTRY","PRODUCTS SERVICES REGISTRY","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items","ProductMasterRegistry","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.catalog.view","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/02_PRODUCTS_SERVICES_REGISTRY.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/page.tsx."
"CAP-B01-003","B01","Accueil / Produits & services","ADD PRODUCT SERVICE","ADD PRODUCT SERVICE","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/new","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/new","ProductMasterRegistry + CreateOfferDrawer","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.catalog.view","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/03_ADD_PRODUCT_SERVICE.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/new/page.tsx."
"CAP-B01-004","B01","Accueil / Produits & services","PRODUCT 360 OVERVIEW","PRODUCT 360 OVERVIEW","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/[itemId]/overview","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/:itemId/overview|/angelcare-marketplace/admin/catalog/items/[itemId]/overview","ProductStudio","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/04_PRODUCT_360_OVERVIEW.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/overview/page.tsx."
"CAP-B01-005","B01","Accueil / Produits & services","PRODUCT 360 CONTENT MEDIA","PRODUCT 360 CONTENT MEDIA","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/[itemId]/content","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/:itemId/content|/angelcare-marketplace/admin/catalog/items/[itemId]/content","ProductStudio","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/05_PRODUCT_360_CONTENT_MEDIA.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/content/page.tsx."
"CAP-B01-006","B01","Accueil / Produits & services","PRODUCT 360 PRICING COMMERCIAL","PRODUCT 360 PRICING COMMERCIAL","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/[itemId]/commercial","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/:itemId/commercial|/angelcare-marketplace/admin/catalog/items/[itemId]/commercial","ProductStudio","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/06_PRODUCT_360_PRICING_COMMERCIAL.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/commercial/page.tsx."
"CAP-B01-007","B01","Accueil / Produits & services","PRODUCT 360 AVAILABILITY TERRITORIES","PRODUCT 360 AVAILABILITY TERRITORIES","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/[itemId]/availability","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/:itemId/availability|/angelcare-marketplace/admin/catalog/items/[itemId]/availability","ProductStudio","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/07_PRODUCT_360_AVAILABILITY_TERRITORIES.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/availability/page.tsx."
"CAP-B01-008","B01","Accueil / Produits & services","PRODUCT 360 FULFILLMENT SOURCING","PRODUCT 360 FULFILLMENT SOURCING","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/[itemId]/fulfillment","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/:itemId/fulfillment|/angelcare-marketplace/admin/catalog/items/[itemId]/fulfillment","ProductStudio","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/08_PRODUCT_360_FULFILLMENT_SOURCING.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/fulfillment/page.tsx."
"CAP-B01-009","B01","Accueil / Produits & services","PRODUCT 360 TRUST MERCHANDISING SEO","PRODUCT 360 TRUST MERCHANDISING SEO","SOURCE_REVIEWED_STATIC","/angelcare-marketplace/admin/catalog/items/[itemId]/trust","SOURCE_REVIEWED","/angelcare-marketplace/admin/catalog/items/:itemId/trust|/angelcare-marketplace/admin/catalog/items/[itemId]/trust","ProductStudio","NOT_APPLICABLE","commerce-studio","NOT_APPLICABLE","SOURCE_COMPONENT_AND_HANDLER_LIFECYCLE","marketplace.commerce.view|marketplace.media.view|marketplace.media.manage|marketplace.homepage.view|marketplace.homepage.manage|marketplace.publication.manage|marketplace.navigation.view|marketplace.navigation.manage|marketplace.catalog.view|marketplace.categories.manage|marketplace.commerce.export|marketplace.merchandising.view|marketplace.merchandising.manage","Canonical and contextual objects exposed by the implemented surface","Effects remain governed by the cited repository/API mutations and source lifecycle.","docs/admin-design/batch-01/ANGELCARE_MARKETPLACE_ADMIN_BATCH_01_SOURCE_TRUE_PROJECTIONS/09_PRODUCT_360_TRUST_MERCHANDISING_SEO.png","EXPOSED_CANONICALLY","IMPLEMENTED_RUNTIME_VERIFICATION_PENDING","STATIC_VERIFIED_RUNTIME_GATE","SOURCE_REVIEWED","Accepted Batch 01 implementation baseline; authenticated runtime and visual comparison remain gated. Canonical source: app/angelcare-marketplace/(protected)/admin/catalog/items/[itemId]/trust/page.tsx."
