"source_route","target_route","link_type","authority","status","notes"
"/angelcare-marketplace/admin/configuration","/angelcare-marketplace/admin/configuration/integrations/payments/paypal","CONTEXTUAL_GOVERNANCE_LINK","GovernanceCommand","STATIC_VERIFIED","PayPal remains inside the frozen Governance workspace."
"/angelcare-marketplace/admin/configuration","/angelcare-marketplace/admin/configuration/storage/media","CONTEXTUAL_GOVERNANCE_LINK","GovernanceCommand","STATIC_VERIFIED","Storage remains inside the frozen Governance workspace."
"/angelcare-marketplace/admin/media/library","/angelcare-marketplace/admin/configuration/storage/media","CONTEXTUAL_STORAGE_HEALTH_LINK","MediaLibraryStudio","STATIC_VERIFIED","Operator can inspect storage health without a second primary workspace."
"/angelcare-marketplace/admin/live-experience-command","/angelcare-marketplace/admin/live-experience-command/proof-sources","CONTEXTUAL_STUDIO_LINK","Live Experience command navigation","STATIC_VERIFIED","Proof sources remain inside Marketing & promotions."
"angelcare-marketplace/academy-engine/components/AcademyCommand.tsx","/angelcare-marketplace/admin/academy/certificates","SOURCE_LITERAL_ADMIN_LINK","TSX href source","STATIC_ROUTE_EXISTS","Destination page.tsx exists."
"angelcare-marketplace/academy-engine/components/AcademyCommand.tsx","/angelcare-marketplace/admin/academy/cohorts","SOURCE_LITERAL_ADMIN_LINK","TSX href source","STATIC_ROUTE_EXISTS","Destination page.tsx exists."
"angelcare-marketplace/admin-control-plane/components/FamilyRequestDossier.tsx","/angelcare-marketplace/admin/family-requests","SOURCE_LITERAL_ADMIN_LINK","TSX href source","STATIC_ROUTE_EXISTS","Destination page.tsx exists."
"angelcare-marketplace/admin-control-plane/components/ManualOrderCommand.tsx","/angelcare-marketplace/admin/orders","SOURCE_LITERAL_ADMIN_LINK","TSX href source","STATIC_ROUTE_EXISTS","Destination page.tsx exists."
"angelcare-marketplace/admin-excellence/components/FinalRealityReadiness.tsx","/angelcare-marketplace/admin/workspaces","SOURCE_LITERAL_ADMIN_LINK","TSX href source","STATIC_ROUTE_EXISTS","Destination page.tsx exists."
"angelcare-marketplace/admin-excellence/components/OperatorExcellenceCockpit.tsx","/angelcare-marketplace/admin/workspaces","SOURCE_LITERAL_ADMIN_LINK","TSX href source","STATIC_ROUTE_EXISTS","Destination page.tsx exists."
