"capability_id","workspace","canonical_route","object_type","action","permission","guard_helper","server_enforcement_point","frontend_behavior","source_review_status","verification_status","evidence"
"CAP-B03-009","Clients","/angelcare-marketplace/admin/customers/[customerId]/activity","crm_task","CREATE|PATCH","marketplace.crm.tasks.manage","requireMarketplaceApiContext","crm-activity-api handleCustomerCrmTasks/handleCustomerCrmTask","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Permission exists in catalogue and is enforced before service-client access."
"CAP-B03-009","Clients","/angelcare-marketplace/admin/customers/[customerId]/activity","crm_communication_log","POST","marketplace.crm.communications.log","requireMarketplaceApiContext","crm-activity-api handleCustomerCrmCommunications","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Append-only log permission enforced before persistence."
"CAP-B05-006","Boutique","/angelcare-marketplace/admin/media/library","media_asset","UPLOAD_SESSION|COMPLETE|TRANSFORM|PERMANENT_DELETE","marketplace.media.manage","requireMarketplaceApiContext","media-storage-api and commerce-studio api-handlers","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Signed upload is issued only after Marketplace API authorization; permanent delete also checks usages."
"CAP-B10-002","Finance","/angelcare-marketplace/admin/configuration/integrations/payments/paypal","paypal_provider","VIEW|TEST","marketplace.configuration.view|marketplace.configuration.manage","requireMarketplaceApiContext","paypal-admin-api","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","OAuth probe disabled when runtime configuration is incomplete and never creates money."
"CAP-B06-003","Marketing & promotions","/angelcare-marketplace/admin/live-experience-command/proof-sources","truth_source","VIEW|REFRESH|TRANSITION","marketplace.live_experience.view|marketplace.live_experience.manage","requireMarketplaceApiContext","live-experience api-handlers","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Source payload is redacted and source transitions are audited."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/assessment-results","POST handleAssessmentResult","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/assessment-results/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/attendance","POST handleAttendance","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/attendance/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/certificates/:certificateId/decision","POST handleCertificateDecision","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/certificates/[certificateId]/decision/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/cohorts","POST handleCohorts","marketplace.academy.view|marketplace.academy.cohorts.manage|marketplace.academy.attendance.manage|marketplace.academy.assessments.manage|marketplace.academy.certificates.issue","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/cohorts/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/assessments","POST handleAcademyAssessmentCreate","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/assessments/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/b2b/:orderId/transition","POST handleAcademyB2BTransition","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/b2b/[orderId]/transition/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/cohorts/:cohortId/trainer","POST handleAcademyTrainerAssignment","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/cohorts/[cohortId]/trainer/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/cohorts/:cohortId/transition","POST handleAcademyCohortTransition","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/cohorts/[cohortId]/transition/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/courses/:id/transition","POST handleAcademyPublicationTransition","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/courses/[id]/transition/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/programs/:id/transition","POST handleAcademyPublicationTransition","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/programs/[id]/transition/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
"CAP-B09-001","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","/api/angelcare-marketplace/academy/final/remediations/:remediationId/transition","POST handleAcademyRemediationTransition","marketplace.academy.view|marketplace.academy.sessions.manage|marketplace.academy.manage|marketplace.academy.assessments.manage|marketplace.academy.catalog.manage|marketplace.academy.cohorts.manage","requireMarketplaceApiContext / source domain guard","app/api/angelcare-marketplace/academy/final/remediations/[remediationId]/transition/route.ts","VISIBLE_ENABLED_OR_DISABLED_WITH_REASON","SOURCE_REVIEWED","STATIC_VERIFIED_RUNTIME_GATE","Server handler chain inspected; frontend behavior is represented by AcademyCommand."
