"source_item_id","source_kind","source_file","route","batch_mapping","exported_symbols","imports","referenced_components","repository_service_symbols","redirect_information","operator_relevance","capability_ids","review_status","authority_classification","final_disposition","evidence"
"PAGE-1","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/assessments/page.tsx","/angelcare-marketplace/admin/academy/assessments","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/assessments/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-2","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/attendance/page.tsx","/angelcare-marketplace/admin/academy/attendance","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/attendance/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-3","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/b2b-training/page.tsx","/angelcare-marketplace/admin/academy/b2b-training","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/b2b-training/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-4","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/catalog/page.tsx","/angelcare-marketplace/admin/academy/catalog","B09","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/academy-engine/repository|@/angelcare-marketplace/academy-engine/components/CatalogRegistry","auth/context|academy-engine/repository|academy-engine/components/CatalogRegistry","repository","NONE","YES","CAP-B09-002","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/catalog/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-5","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/certificates/page.tsx","/angelcare-marketplace/admin/academy/certificates","B09","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/academy-engine/repository|@/angelcare-marketplace/academy-engine/components/CertificateAuthority","auth/context|academy-engine/repository|academy-engine/components/CertificateAuthority","repository","NONE","YES","CAP-B09-004","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/certificates/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-6","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/cohorts/page.tsx","/angelcare-marketplace/admin/academy/cohorts","B09","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/academy-engine/repository|@/angelcare-marketplace/academy-engine/components/CohortCommand","auth/context|academy-engine/repository|academy-engine/components/CohortCommand","repository","NONE","YES","CAP-B09-003","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/cohorts/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-7","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/compliance/page.tsx","/angelcare-marketplace/admin/academy/compliance","B09","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/academy-engine/components/CertificateAuthority|@/angelcare-marketplace/academy-engine/repository","auth/context|academy-engine/components/CertificateAuthority|academy-engine/repository","repository","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/compliance/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-8","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/courses/page.tsx","/angelcare-marketplace/admin/academy/courses","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/courses/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-9","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/enrollments/page.tsx","/angelcare-marketplace/admin/academy/enrollments","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/enrollments/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-10","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/page.tsx","/angelcare-marketplace/admin/academy","B09","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/academy-engine/repository|@/angelcare-marketplace/academy-engine/components/AcademyCommand","auth/context|academy-engine/repository|academy-engine/components/AcademyCommand","repository","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-11","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/programs/page.tsx","/angelcare-marketplace/admin/academy/programs","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/programs/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-12","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/sessions/page.tsx","/angelcare-marketplace/admin/academy/sessions","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/sessions/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-13","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/academy/trainers/page.tsx","/angelcare-marketplace/admin/academy/trainers","B09","NONE","@/angelcare-marketplace/academy-engine/final-admin-page","academy-engine/final-admin-page","NONE","NONE","YES","CAP-B09-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/academy/trainers/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
"PAGE-14","ADMIN_PAGE","app/angelcare-marketplace/(protected)/admin/action-center/page.tsx","/angelcare-marketplace/admin/action-center","UNMAPPED","NONE","@/angelcare-marketplace/auth/context|@/angelcare-marketplace/design-system/ui|@/angelcare-marketplace/sovereign-control/components/ActionCenter|@/angelcare-marketplace/sovereign-control/repository","auth/context|design-system/ui|sovereign-control/components/ActionCenter|sovereign-control/repository","repository","NONE","YES","CAP-B11-001","SOURCE_REVIEWED","CANONICAL_OR_CONTEXTUAL_OPERATOR_SURFACE","MAPPED_TO_IMPLEMENTED_CAPABILITY","app/angelcare-marketplace/(protected)/admin/action-center/page.tsx; source imports/handlers reconciled against completed approved-screen and Batch evidence."
