"route","source_component","actual_behavior","redirect_target","batch","canonical_workspace","canonical_destination","disposition","capability_ids","review_status","evidence"
"/angelcare-marketplace/admin/configuration/integrations/payments/paypal","customer-commerce/components/PayPalOperations","Safe PayPal configuration, adapter capability, webhook and transaction evidence plus OAuth-only test","NOT_APPLICABLE","B11","Paramètres & gouvernance","/angelcare-marketplace/admin/configuration/integrations/payments/paypal","ADVANCED_TOOL","CAP-B10-002|CAP-B11-009","SOURCE_REVIEWED","No primary navigation item; linked contextually from Governance."
"/angelcare-marketplace/admin/configuration/storage/media","commerce-studio/components/MediaStorageOperations","Windows Marketplace storage configuration and operational health","NOT_APPLICABLE","B11","Paramètres & gouvernance","/angelcare-marketplace/admin/configuration/storage/media","ADVANCED_TOOL","CAP-B05-006|CAP-B11-009","SOURCE_REVIEWED","No primary navigation item; linked from Governance and Media Library."
"/angelcare-marketplace/admin/live-experience-command/proof-sources","live-experience-command/components/LiveProofSources","Truth-source registry, safe resolver test, source health and proof-widget linkage","NOT_APPLICABLE","B06","Marketing & promotions","/angelcare-marketplace/admin/live-experience-command/proof-sources","MERGED_INTO_STUDIO","CAP-B06-003","SOURCE_REVIEWED","Contextual Live Experience studio route; no new primary workspace."
"/angelcare-marketplace/admin/academy/assessments","academy-engine/final-admin-page","Protected Admin surface rendering academy-engine/final-admin-page","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","MERGED_INTO_CONTROL_ROOM","CAP-B09-001","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/assessments/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/attendance","academy-engine/final-admin-page","Protected Admin surface rendering academy-engine/final-admin-page","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","MERGED_INTO_CONTROL_ROOM","CAP-B09-001","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/attendance/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/b2b-training","academy-engine/final-admin-page","Protected Admin surface rendering academy-engine/final-admin-page","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","MERGED_INTO_CONTROL_ROOM","CAP-B09-001","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/b2b-training/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/catalog","auth/context|academy-engine/repository|academy-engine/components/CatalogRegistry","Protected Admin surface rendering auth/context|academy-engine/repository|academy-engine/components/CatalogRegistry","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy/catalog","CANONICAL","CAP-B09-002","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/catalog/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/certificates","auth/context|academy-engine/repository|academy-engine/components/CertificateAuthority","Protected Admin surface rendering auth/context|academy-engine/repository|academy-engine/components/CertificateAuthority","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy/certificates","CANONICAL","CAP-B09-004","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/certificates/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/cohorts","auth/context|academy-engine/repository|academy-engine/components/CohortCommand","Protected Admin surface rendering auth/context|academy-engine/repository|academy-engine/components/CohortCommand","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy/cohorts","CANONICAL","CAP-B09-003","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/cohorts/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/compliance","auth/context|academy-engine/components/CertificateAuthority|academy-engine/repository","Protected Admin surface rendering auth/context|academy-engine/components/CertificateAuthority|academy-engine/repository","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","MERGED_INTO_CONTROL_ROOM","CAP-B09-001","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/compliance/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/courses","academy-engine/final-admin-page","Protected Admin surface rendering academy-engine/final-admin-page","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","MERGED_INTO_CONTROL_ROOM","CAP-B09-001","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/courses/page.tsx; actual component imports and approved canonical screen authority reviewed."
"/angelcare-marketplace/admin/academy/enrollments","academy-engine/final-admin-page","Protected Admin surface rendering academy-engine/final-admin-page","NOT_APPLICABLE","B09","Academy / B2B & partenaires","/angelcare-marketplace/admin/academy","MERGED_INTO_CONTROL_ROOM","CAP-B09-001","SOURCE_REVIEWED","app/angelcare-marketplace/(protected)/admin/academy/enrollments/page.tsx; actual component imports and approved canonical screen authority reviewed."
