"capability_id","route","workspace","loading","empty","first_use","populated","filtered_empty","partial","stale","validation_error","server_error","permission_denied","blocked","dependency_missing","approval_pending","success","save_failure","unsaved","conflict","paused","archived","not_ready","source_review_status","notes"
"CAP-B03-009","/angelcare-marketplace/admin/customers/[customerId]/activity","Clients","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","NOT_APPLICABLE","SOURCE_REVIEWED","Task and communication state is based on persisted reads; authenticated mutation UAT pending."
"CAP-B05-006","/angelcare-marketplace/admin/media/library","Boutique","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","SOURCE_REVIEWED","Direct upload progress is real XHR progress; storage unavailable/config missing is explicit."
"CAP-B06-003","/angelcare-marketplace/admin/live-experience-command/proof-sources","Marketing & promotions","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","IMPLEMENTED","NOT_APPLICABLE","IMPLEMENTED","SOURCE_REVIEWED","Stale/unverified/inactive source prevents public proof resolution."
"CAP-B01-001","/angelcare-marketplace/admin","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","OperatorExcellenceCockpit; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-002","/angelcare-marketplace/admin/catalog/items","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductMasterRegistry; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-003","/angelcare-marketplace/admin/catalog/items/new","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductMasterRegistry + CreateOfferDrawer; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-004","/angelcare-marketplace/admin/catalog/items/[itemId]/overview","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-005","/angelcare-marketplace/admin/catalog/items/[itemId]/content","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-006","/angelcare-marketplace/admin/catalog/items/[itemId]/commercial","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
"CAP-B01-007","/angelcare-marketplace/admin/catalog/items/[itemId]/availability","Accueil / Produits & services","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","NOT_APPLICABLE","SOURCE_REVIEWED","ProductStudio; only states recorded in the approved-screen implementation evidence are asserted."
